,text,sentence,start_token,end_token,mention_type,label,grounding_id
0,fractional dynamics,"Projections and fractional dynamics of COVID-19 with optimal control strategies * a , c Khondoker Nazmoon Nabi , Pushpendra Kumar b , Vedat Suat Erturk",2,4,TextBoundMention,Phrase,
1,Projections,"Projections and fractional dynamics of COVID-19 with optimal control strategies * a , c Khondoker Nazmoon Nabi , Pushpendra Kumar b , Vedat Suat Erturk",0,1,TextBoundMention,Phrase,
2,b,"Projections and fractional dynamics of COVID-19 with optimal control strategies * a , c Khondoker Nazmoon Nabi , Pushpendra Kumar b , Vedat Suat Erturk",20,21,TextBoundMention,Phrase,"(AIDSVAX B/B, vo:0000405, 0.90), (BoNT/B, vo:0010904, 0.79), (Enterovirus B, ncbitaxon:138949, 0.78), (Diphtheria-Tetanus-Pertussis-Hepatitis B vaccine, vo:0003172, 0.77), (Diphtheria-Tetanus-Pertussis-Haemophilus b vaccine, vo:0000942, 0.77)"
3,optimal control strategies,"Projections and fractional dynamics of COVID-19 with optimal control strategies * a , c Khondoker Nazmoon Nabi , Pushpendra Kumar b , Vedat Suat Erturk",7,10,TextBoundMention,Phrase,
4,COVID-19,"Projections and fractional dynamics of COVID-19 with optimal control strategies * a , c Khondoker Nazmoon Nabi , Pushpendra Kumar b , Vedat Suat Erturk",5,6,TextBoundMention,Phrase,"(severe COVID-19, doid:0081013, 0.83), (critical COVID-19, doid:0081012, 0.82), (non-severe COVID-19, doid:0081014, 0.81), (COVID-19, doid:0080600, 0.77), (COVID-19 vaccine, vo:0004908, 0.76)"
5,c,"Projections and fractional dynamics of COVID-19 with optimal control strategies * a , c Khondoker Nazmoon Nabi , Pushpendra Kumar b , Vedat Suat Erturk",13,14,TextBoundMention,Phrase,"(BoNT/C, vo:0004004, 0.76)"
6,a,"Projections and fractional dynamics of COVID-19 with optimal control strategies * a , c Khondoker Nazmoon Nabi , Pushpendra Kumar b , Vedat Suat Erturk",11,12,TextBoundMention,Phrase,
7,with optimal control strategies,"Projections and fractional dynamics of COVID-19 with optimal control strategies * a , c Khondoker Nazmoon Nabi , Pushpendra Kumar b , Vedat Suat Erturk",6,10,RelationMention,Context,
8,b,"Projections and fractional dynamics of COVID-19 with optimal control strategies * a , c Khondoker Nazmoon Nabi , Pushpendra Kumar b , Vedat Suat Erturk",20,21,TextBoundMention,Identifier,"(AIDSVAX B/B, vo:0000405, 0.90), (BoNT/B, vo:0010904, 0.79), (Enterovirus B, ncbitaxon:138949, 0.78), (Diphtheria-Tetanus-Pertussis-Hepatitis B vaccine, vo:0003172, 0.77), (Diphtheria-Tetanus-Pertussis-Haemophilus b vaccine, vo:0000942, 0.77)"
9,c,"Projections and fractional dynamics of COVID-19 with optimal control strategies * a , c Khondoker Nazmoon Nabi , Pushpendra Kumar b , Vedat Suat Erturk",13,14,TextBoundMention,Identifier,"(BoNT/C, vo:0004004, 0.76)"
