v0: E:-754456012
v1: E:1491480210
v2: E:-1397447272
v3: E:1082544296
v4: E:-1448492043
v5: E:-605902488
v6: E:415297888
v7: E:-870819115
v8: R:855559718
v9: R:1214187488
v10: E:-1921441554
v11: E:1360514627
v12: E:-2087133106
v13: E:-2117473741
v14: R:960004975
v15: E:-366044198
v16: E:592467200
v17: R:1218866417
v18: E:392549189
v19: R:-1574038365
v20: E:-1699720124
v21: E:1881460677
v22: R:-1701961284
v23: E:352362914
v24: E:371302679
v25: E:-1832746855
v26: E:1065347612
v27: E:1875304339
v28: E:1933623000
v29: E:1791754575
v30: R:332363993
v31: R:-1225449041
