Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated "
08/31/2020,09/01/2020,26th Ward,26W,389.00,263535.64,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608
08/31/2020,09/01/2020,Bowery Bay,BB,1204.00,443632.86,,924695
08/31/2020,09/01/2020,Coney Island,CI,304.00,168551.56,Concentration below Method Limit of Quantification (above Method Limit of Detection),682342
08/31/2020,09/01/2020,Hunts Point,HP,940.00,574446.57,,755948
08/31/2020,09/01/2020,Jamaica Bay,JA,632.00,233077.74,,748737
08/31/2020,09/01/2020,Newtown Creek,NC,197.00,122396.84,Concentration below Method Limit of Quantification (above Method Limit of Detection),1156473
08/31/2020,09/01/2020,North River,NR,,,Concentration below Method Limit of Detection,658596
08/31/2020,09/01/2020,Oakwood Beach,OB,,,Concentration below Method Limit of Detection,258731
08/31/2020,09/01/2020,Owls Head,OH,,,Concentration below Method Limit of Detection,906442
08/31/2020,09/01/2020,Port Richmond,PR,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",226167
08/31/2020,09/01/2020,Red Hook,RH,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",224029
08/31/2020,09/01/2020,Rockaway,RK,371.00,209796.41,Concentration below Method Limit of Quantification (above Method Limit of Detection),120539
08/31/2020,09/01/2020,Tallman Island,TI,571.00,249962.71,"Concentration below Method Limit of Quantification (above Method Limit of Detection) - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",449907
08/31/2020,09/01/2020,Wards Island,WI,1339.00,780535.46,,1201485
09/02/2020,09/03/2020,26th Ward,26W,,,Concentration below Method Limit of Detection,290608
09/02/2020,09/03/2020,Bowery Bay,BB,,,Concentration below Method Limit of Detection,924695
09/02/2020,09/03/2020,Coney Island,CI,,,Analytical issue,682342
09/02/2020,09/03/2020,Hunts Point,HP,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",755948
09/02/2020,09/03/2020,Jamaica Bay,JA,182.00,68976.97,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,748737
09/02/2020,09/03/2020,Newtown Creek,NC,,,Concentration below Method Limit of Detection,1156473
09/02/2020,09/03/2020,North River,NR,,,Analytical issue,658596
09/02/2020,09/03/2020,Oakwood Beach,OB,,,Analytical issue,258731
09/02/2020,09/03/2020,Owls Head,OH,,,Analytical issue,906442
09/02/2020,09/03/2020,Port Richmond,PR,,,Analytical issue,226167
09/02/2020,09/03/2020,Red Hook,RH,242.00,97941.47,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029
09/02/2020,09/03/2020,Rockaway,RK,,,Analytical issue,120539
09/02/2020,09/03/2020,Tallman Island,TI,,,Possible analytical issue,449907
09/02/2020,09/03/2020,Wards Island,WI,,,Concentration below Method Limit of Detection,1201485
09/06/2020,09/07/2020,26th Ward,26W,404.00,231752.79,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608
09/06/2020,09/07/2020,Bowery Bay,BB,,,Concentration below Method Limit of Detection,924695
09/06/2020,09/07/2020,Coney Island,CI,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",682342
09/06/2020,09/07/2020,Hunts Point,HP,,,Possible analytical issue,755948
09/06/2020,09/07/2020,Jamaica Bay,JA,437.00,159201.60,Concentration below Method Limit of Quantification (above Method Limit of Detection),748737
09/06/2020,09/07/2020,Newtown Creek,NC,365.00,193670.11,Concentration below Method Limit of Quantification (above Method Limit of Detection),1156473
09/06/2020,09/07/2020,North River,NR,282.00,136780.99,Concentration below Method Limit of Quantification (above Method Limit of Detection),658596
09/06/2020,09/07/2020,Oakwood Beach,OB,,,Concentration below Method Limit of Detection,258731
09/06/2020,09/07/2020,Owls Head,OH,227.00,81400.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),906442
09/06/2020,09/07/2020,Port Richmond,PR,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",226167
09/06/2020,09/07/2020,Red Hook,RH,410.00,145601.27,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,224029
09/06/2020,09/07/2020,Rockaway,RK,,,Concentration below Method Limit of Detection,120539
09/06/2020,09/07/2020,Tallman Island,TI,,,"Concentration below Method Limit of Detection - No signal is 2 out of 3 RT-qPCR wells, result in obtained by averaging signal from the remaining RT-qPCR well",449907
09/06/2020,09/07/2020,Wards Island,WI,,,Analytical issue,1201485
09/08/2020,09/09/2020,26th Ward,26W,499.00,292206.73,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608
09/08/2020,09/09/2020,Bowery Bay,BB,951.00,323147.89,,924695
09/08/2020,09/09/2020,Coney Island,CI,43278.00,18246846.79,,682342
09/08/2020,09/09/2020,Hunts Point,HP,1582.00,958342.09,,755948
09/08/2020,09/09/2020,Jamaica Bay,JA,1224.00,445580.25,,748737
09/08/2020,09/09/2020,Newtown Creek,NC,307.00,177754.04,Concentration below Method Limit of Quantification (above Method Limit of Detection),1156473
09/08/2020,09/09/2020,North River,NR,415.00,227348.08,Concentration below Method Limit of Quantification (above Method Limit of Detection),658596
09/08/2020,09/09/2020,Oakwood Beach,OB,539.00,192925.70,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,258731
09/08/2020,09/09/2020,Owls Head,OH,862.00,317503.95,,906442
