X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,email,dis_status,POINT_X,POINT_Y
-118.216023506165,34.204529567002,9,211,,Health and Mental Health,Hospitals and Medical Centers,911 Receiving,,Verdugo Hills Hospital,1812 Verdugo Blvd.,,Glendale,CA,"Administrative hours are Monday through Friday, 8:00am to 5:00pm.  
24 hours at day, 7 days at week.
","Main Hospital Number: (818) 790 - 7100
Emergency Room Number: (818) 952 - 2222

Administration (818) 952-2210 
Admitting (818) 952-2230 
Bariatric Program (877) 365-0156 
Breast Healthcare Center (818) 952-3557 
Business Office (818) 949-4055 

",http://uscvhh.org/,,,560,"The facility provides health education and hospital services for people of all Welcome to USC Verdugo Hills Hospital, now part of Keck Medicine of USC. USC Verdugo Hills is a 158-bed acute care hospital serving patients in the cities of Glendale and La Cañada Flintridge, as well as the surrounding Foothill communities of the San Gabriel Valley.ges in Los Angeles County.",91208,http://egis3.lacounty.gov/lms/?p=560,publish,34.2045296,-118.21602345,2016/01/29 10:45:00+00,,,6496353.35362938,1896882.73013289
-118.248311626627,34.0756926772272,11,211,,Health and Mental Health,Hospitals and Medical Centers,Respiratory Hospital,,Barlow Respiratory Hospital - Los Angeles (Main Campus),2000 Stadium Way,,Los Angeles,CA,"Administrative hours are Monday through Friday, 8:30am to 5:00pm","Service/Intake (213) 250-4200
",http://www.barlowhospital.org/index.php,,,561,"For more than a century at Barlow Respiratory Hospital, our focus has been on helping patients breathe easier.  As a Long-Term Acute Care Hospital, Barlow treats patients with critical care needs that require longer hospital stays and specialized, expert care.  On average, patients stay at Barlow for 30 days.",90026,http://egis3.lacounty.gov/lms/?p=561,publish,34.07569271,-118.24831157,2016/01/21 15:56:47+00,,,6486474.89536797,1850019.30548723
-117.865074657506,34.1273072669199,20,211,,Health and Mental Health,Hospitals and Medical Centers,911 Receiving,,Glendora Community Hospital,150 W. Route 66,,Glendora,CA,24 hours a day,"Admissions Service/Intake (626) 852-5015, Chinese Hotline Service/Intake (626) 852-5058, Senior Mental Health Service/Intake (626) 852-5063,  Service/Intake and Administration (626) 852-5000",http://www.evhmc.com/about.php,,,568,"Services provided include comprehensive acute care medical, intensive care, surgical services – inpatient and outpatient, critical care, telemetry care, diagnostic imaging, 24-hour basic emergency services, clinical laboratory, and cardiopulmonary services.",91740,http://egis3.lacounty.gov/lms/?p=568,publish,34.1273073,-117.8650746,2016/01/22 14:39:39+00,,,6602504.18889947,1868737.35400906
-118.357113056219,33.8386342175713,25,211,,Health and Mental Health,Hospitals and Medical Centers,911 Receiving,Providence Little  Company of Mary Medical Center,Providence Little Company Of Mary Medical Center - Torrance,4101 Torrance Blvd.,,Torrance,CA,24 hours a day 7 days at week,"Admitting Service/Intake (310) 543-5807, Cancer Center Service/Intake (310) 937-1984, Heart Center Service/Intake (310) 303-5640, Women's/Children's Health Service/Intake (310) 303-5630, Appointments for Health Insurance Enrollment Service/Intake (310) 97",http://california.providence.org/torrance/Pages/default.aspx,,,569,"Providence Little Company of Mary Medical Center Torrance is known for clinical excellence, advanced technology and a distinct focus on the personal nature of caring for our South Bay communities. We provide excellent medical, surgical and critical care services as well as specialty programs and services including cancer and heart care, obstetrics, rehabilitation and a full range of educational classes",90503,http://egis3.lacounty.gov/lms/?p=569,publish,33.83863425,-118.357113,2016/01/27 11:34:40+00,,,6453220.51404221,1763848.31608415
-118.257443036499,34.128058406799,35,211,,Health and Mental Health,Hospitals and Medical Centers,911 Receiving,,Glendale Memorial Hospital And Health Center,1420 S. Central Ave.,,Glendale,CA,"Monday through Friday, 9:00am to 5:00pm.  Emergency Room is open 24 hours a day","Breastfeeding Service/Intake (818) 507-4191, Community Programs Service/Intake (818) 502-2373, Financial Counselor - Health Coverage Questions Service/Intake (818) 502-2378, Hospital Main Number Service/Intake (818) 502-1900, 50 Plus Service/Intake (818) ",http://www.glendalememorial.com/,,,570,"Established in 1926, Glendale Memorial Hospital and Health Center is fully accredited by The Joint Commission, the leading accrediting body for health care organizations in the United States. We are a 334-licensed bed facility with 1,000 employees, upwards 500 physicians representing all major specialties, and a dedicated team of 400 volunteers.",91204,http://egis3.lacounty.gov/lms/?p=570,publish,34.12805844,-118.25744298,2016/01/22 16:10:02+00,,,6483758.47166698,1869083.06919689
-118.38103840599,34.0762193663517,40,211,,Health and Mental Health,Hospitals and Medical Centers,Trauma Center,Cedars Sinai Medical Group,Cedars-Sinai Medical Center,8700 Beverly Blvd.,,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm.  Emergency Room open 24 hours a day.","Emergency Medical Service Service/Intake (310) 423-8605, Main Operator Service/Intake and Administration (310) 423-3277, Breastfeeding Hotline Information Only (800) 972-6003, Breastfeeding Education Service/Intake (310) 423-5312, Community Health Educati",http://www.csmc.edu/,,,571,"Cedars-Sinai is one of the largest nonprofit academic medical centers in the U.S. with 886 licensed beds, 2,100 physicians, 2,800 nurses and thousands of other healthcare professionals and staff. Clinical programs range from primary care for preventing, diagnosing and treating common conditions to specialized treatments for rare, complex and advanced illnesses. In addition, Cedars-Sinai serves the community through its Medical Network, which includes the highly rated Cedars-Sinai Medical Group and Cedars-Sinai Health Associates

&nbsp;",90048,http://egis3.lacounty.gov/lms/?p=571,publish,34.0762194,-118.38103835,2016/01/21 17:44:12+00,,,6446282.53644839,1850336.80189948
-118.38103840599,34.0762193663517,41,211,,Health and Mental Health,Hospitals and Medical Centers,911 Receiving,Cedars Sinai Medical Group,Cedars-Sinai Medical Center,8700 Beverly Blvd.,,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm.  Emergency Room open 24 hours a day.","Emergency Medical Service Service/Intake (310) 423-8605, Main Operator Service/Intake and Administration (310) 423-3277, Breastfeeding Hotline Information Only (800) 972-6003, Breastfeeding Education Service/Intake (310) 423-5312, Community Health Educati",http://www.csmc.edu/,,,571,"Cedars-Sinai is one of the largest nonprofit academic medical centers in the U.S. with 886 licensed beds, 2,100 physicians, 2,800 nurses and thousands of other healthcare professionals and staff. Clinical programs range from primary care for preventing, diagnosing and treating common conditions to specialized treatments for rare, complex and advanced illnesses. In addition, Cedars-Sinai serves the community through its Medical Network, which includes the highly rated Cedars-Sinai Medical Group and Cedars-Sinai Health Associates

&nbsp;",90048,http://egis3.lacounty.gov/lms/?p=571,publish,34.0762194,-118.38103835,2016/01/21 17:44:12+00,,,6446282.53644839,1850336.80189948
-118.38103840599,34.0762193663517,42,211,,Health and Mental Health,Hospitals and Medical Centers,EDAP-PMC,Cedars Sinai Medical Group,Cedars-Sinai Medical Center,8700 Beverly Blvd.,,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm.  Emergency Room open 24 hours a day.","Emergency Medical Service Service/Intake (310) 423-8605, Main Operator Service/Intake and Administration (310) 423-3277, Breastfeeding Hotline Information Only (800) 972-6003, Breastfeeding Education Service/Intake (310) 423-5312, Community Health Educati",http://www.csmc.edu/,,,571,"Cedars-Sinai is one of the largest nonprofit academic medical centers in the U.S. with 886 licensed beds, 2,100 physicians, 2,800 nurses and thousands of other healthcare professionals and staff. Clinical programs range from primary care for preventing, diagnosing and treating common conditions to specialized treatments for rare, complex and advanced illnesses. In addition, Cedars-Sinai serves the community through its Medical Network, which includes the highly rated Cedars-Sinai Medical Group and Cedars-Sinai Health Associates

&nbsp;",90048,http://egis3.lacounty.gov/lms/?p=571,publish,34.0762194,-118.38103835,2016/01/21 17:44:12+00,,,6446282.53644839,1850336.80189948
-118.38103840599,34.0762193663517,43,211,,Health and Mental Health,Hospitals and Medical Centers,Acute Care,Cedars Sinai Medical Group,Cedars-Sinai Medical Center,8700 Beverly Blvd.,,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm.  Emergency Room open 24 hours a day.","Emergency Medical Service Service/Intake (310) 423-8605, Main Operator Service/Intake and Administration (310) 423-3277, Breastfeeding Hotline Information Only (800) 972-6003, Breastfeeding Education Service/Intake (310) 423-5312, Community Health Educati",http://www.csmc.edu/,,,571,"Cedars-Sinai is one of the largest nonprofit academic medical centers in the U.S. with 886 licensed beds, 2,100 physicians, 2,800 nurses and thousands of other healthcare professionals and staff. Clinical programs range from primary care for preventing, diagnosing and treating common conditions to specialized treatments for rare, complex and advanced illnesses. In addition, Cedars-Sinai serves the community through its Medical Network, which includes the highly rated Cedars-Sinai Medical Group and Cedars-Sinai Health Associates

&nbsp;",90048,http://egis3.lacounty.gov/lms/?p=571,publish,34.0762194,-118.38103835,2016/01/21 17:44:12+00,,,6446282.53644839,1850336.80189948
-118.38103840599,34.0762193663517,44,211,,Health and Mental Health,Hospitals and Medical Centers,Base Hospital,Cedars Sinai Medical Group,Cedars-Sinai Medical Center,8700 Beverly Blvd.,,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm.  Emergency Room open 24 hours a day.","Emergency Medical Service Service/Intake (310) 423-8605, Main Operator Service/Intake and Administration (310) 423-3277, Breastfeeding Hotline Information Only (800) 972-6003, Breastfeeding Education Service/Intake (310) 423-5312, Community Health Educati",http://www.csmc.edu/,,,571,"Cedars-Sinai is one of the largest nonprofit academic medical centers in the U.S. with 886 licensed beds, 2,100 physicians, 2,800 nurses and thousands of other healthcare professionals and staff. Clinical programs range from primary care for preventing, diagnosing and treating common conditions to specialized treatments for rare, complex and advanced illnesses. In addition, Cedars-Sinai serves the community through its Medical Network, which includes the highly rated Cedars-Sinai Medical Group and Cedars-Sinai Health Associates

&nbsp;",90048,http://egis3.lacounty.gov/lms/?p=571,publish,34.0762194,-118.38103835,2016/01/21 17:44:12+00,,,6446282.53644839,1850336.80189948
