OBJECTID,state_name,state_fips,state_abbr,hhs_region,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_cov,staffed_adult_icu_bed_occ,staffed_adult_icu_bed_occ_cov,staff_icu_ad_conf_sus_cov,staff_icu_ad_conf_sus_cov_cov,total_staff_ad_icu_beds,total_staff_ad_icu_beds_cov,inpatient_beds_utilization,inpatient_beds_util_cov,inpatient_beds_util_num,inpatient_beds_util_den,perc_inpt_covid,perc_inpt_covid_cov,perc_inpt_covid_num,perc_inpt_covid_den,inpt_bed_covid_util,inpt_bed_covid_util_cov,inpt_bed_covid_util_num,inpt_bed_covid_util_den,ad_icu_bed_covid_util,ad_icu_bed_covid_util_cov,ad_icu_bed_covid_util_num,ad_icu_bed_covid_util_den,ad_icu_bed_util,ad_icu_bed_util_cov,ad_icu_bed_util_num,ad_icu_bed_util_den,reporting_cutoff_start,hospital_onset_covid,hospital_onset_covid_coverage,staff_icu_ad_conf_cov,staff_icu_ad_conf_cov_cov,tot_ad_pat_hosp_conf_sus_cov,tot_ad_pat_hosp_conf_sus_cc,tot_ad_pat_hosp_conf_cov,tot_ad_pat_hosp_conf_cov_cov,tot_ped_pat_hosp_conf_sus_cov,tot_ped_pat_hosp_conf_sus_cc,tot_ped_pat_hosp_conf_cov,tot_ped_pat_hosp_conf_cov_cov,last_updated,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage
1,Alaska,02,AK,10,1680,22,1406,22,39,22,126,22,2,22,153,22,0.836904761904762,22,1406,1680,0.02773826458037,22,39,1406,0.023214285714286,22,39,1680,0.013071895424837,22,2,153,0.823529411764706,22,126,153,2020/07/26 00:00:00+00,0,22,2,22,39,22,39,22,0,22,0,22,2023/01/12 13:30:00+00,1,7,14,1,19,2,3,22,0,22,0,22,0,22
2,California,06,CA,9,62464,361,50951,361,4464,353,5263,361,501,353,6770,361,0.815685835040984,361,50951,62464,0.088789879863155,353,4464,50276,0.072339529080037,353,4464,61709,0.07588609512269,353,501,6602,0.777400295420975,361,5263,6770,2020/07/26 00:00:00+00,160,353,473,361,4358,353,3897,361,106,353,90,353,2023/01/12 13:30:00+00,7,63,291,108,213,40,587,361,14,349,16,353,6,353
3,Hawaii,15,HI,9,1739,17,1447,17,62,17,123,17,3,17,160,17,0.832087406555492,17,1447,1739,0.042847270214236,17,62,1447,0.035652673950546,17,62,1739,0.01875,17,3,160,0.76875,17,123,160,2020/07/26 00:00:00+00,8,17,3,17,62,17,62,17,0,17,0,17,2023/01/12 13:30:00+00,0,4,17,3,18,0,7,21,0,21,4,17,0,17
4,Idaho,16,ID,10,3118,44,2276,44,112,43,237,44,11,43,299,44,0.729955099422707,44,2276,3118,0.050044682752458,43,112,2238,0.036434612882238,43,112,3074,0.038062283737024,43,11,289,0.792642140468228,44,237,299,2020/07/26 00:00:00+00,2,43,13,44,108,43,108,44,4,43,3,43,2023/01/12 13:30:00+00,0,8,36,2,37,5,14,44,0,44,0,43,2,43
5,Nevada,32,NV,9,7395,45,5928,45,255,43,646,45,52,43,816,45,0.801622718052738,45,5928,7395,0.043935217091661,43,255,5804,0.035143329658214,43,255,7256,0.065656565656566,43,52,792,0.791666666666667,45,646,816,2020/07/26 00:00:00+00,62,43,44,45,247,43,231,45,8,43,7,43,2023/01/12 13:30:00+00,1,3,41,1,7,37,27,45,0,45,2,43,0,43
6,Oregon,41,OR,10,6352,59,5155,59,278,52,519,59,46,57,668,59,0.811555415617128,59,5155,6352,0.064471243042672,52,278,4312,0.051529193697868,52,278,5395,0.071762870514821,57,46,641,0.776946107784431,59,519,668,2020/07/26 00:00:00+00,17,57,39,59,336,57,272,59,7,52,5,57,2023/01/12 13:30:00+00,3,21,35,6,39,14,33,59,0,56,1,57,3,57
7,Washington,53,WA,10,10926,89,9523,89,545,87,935,89,53,88,1169,89,0.871590701079993,89,9523,10926,0.0590401906619,86,545,9231,0.051434503586259,86,545,10596,0.046127067014795,87,53,1149,0.799828913601369,89,935,1169,2020/07/26 00:00:00+00,39,88,51,90,557,88,530,90,16,87,13,88,2023/01/12 13:30:00+00,0,21,69,2,36,52,68,90,0,90,1,88,0,88
8,Arizona,04,AZ,9,13977,84,11436,84,706,82,1154,84,76,82,1620,84,0.818201330757673,84,11436,13977,0.062816976599342,82,706,11239,0.051416502803874,82,706,13731,0.048407643312102,82,76,1570,0.712345679012346,84,1154,1620,2020/07/26 00:00:00+00,8,81,67,84,674,82,487,84,32,82,5,82,2023/01/12 13:30:00+00,0,16,68,2,58,24,81,84,0,82,0,81,4,80
9,Arkansas,05,AR,6,7266,83,5441,83,387,81,665,83,63,81,826,83,0.748830167905312,83,5441,7266,0.071349557522124,81,387,5424,0.053571428571429,81,387,7224,0.077490774907749,81,63,813,0.805084745762712,83,665,826,2020/07/26 00:00:00+00,14,81,57,83,375,81,300,83,12,81,10,81,2023/01/12 13:30:00+00,2,13,68,17,61,5,56,83,0,83,3,81,20,81
10,Colorado,08,CO,8,10285,91,7289,91,290,89,846,91,55,89,1237,91,0.708701993193972,91,7289,10285,0.040216336153099,89,290,7211,0.02847604084839,89,290,10184,0.045681063122924,89,55,1204,0.683912691996766,91,846,1237,2020/07/26 00:00:00+00,6,89,53,91,274,89,233,91,16,89,12,89,2023/01/12 13:30:00+00,0,23,68,2,66,23,50,91,1,91,1,89,5,89
