state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage,all_pediatric_inpatient_bed_occupied,all_pediatric_inpatient_bed_occupied_coverage,all_pediatric_inpatient_beds,all_pediatric_inpatient_beds_coverage,previous_day_admission_pediatric_covid_confirmed_0_4,previous_day_admission_pediatric_covid_confirmed_0_4_coverage,previous_day_admission_pediatric_covid_confirmed_12_17,previous_day_admission_pediatric_covid_confirmed_12_17_coverage, previous_day_admission_pediatric_covid_confirmed_5_11,previous_day_admission_pediatric_covid_confirmed_5_11_coverage,previous_day_admission_pediatric_covid_confirmed_unknown,previous_day_admission_pediatric_covid_confirmed_unknown_coverage,staffed_icu_pediatric_patients_confirmed_covid,staffed_icu_pediatric_patients_confirmed_covid_coverage,staffed_pediatric_icu_bed_occupancy,staffed_pediatric_icu_bed_occupancy_coverage,total_staffed_pediatric_icu_beds,total_staffed_pediatric_icu_beds_coverage
AK,1,6,14,1,18,2,1,21,1721,21,1369,21,48,21,7,21,0,21,0,21,0,21,131,21,5,21,5,21,48,21,48,21,0,21,0,21,163,21,0.79546775130738,21,1369,1721,0.035062089116143,21,48,1369,0.027890761185357,21,48,1721,0.030674846625767,21,5,163,0.803680981595092,21,131,163,2023/01/22,,2,20,2,20,0,19,1,19,0,19,0,19,2,19,0,19,0,21,0,21,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,21,0,9,39,0,0,0,0,0,1,21,1,21,0,7,0,7,10,0,8,21,74,21,101,21,0,21,0,19,0,19,0,21,0,21,14,21,16,21
CO,0,24,66,2,64,24,5,88,10194,90,6976,90,228,88,40,90,0,90,2,88,11,88,805,90,40,88,38,90,218,88,178,90,10,88,7,88,1232,90,0.684324112222876,90,6976,10194,0.033033903216459,88,228,6902,0.022587675847038,88,228,10094,0.033333333333333,88,40,1200,0.653409090909091,90,805,1232,2023/01/22,,0,90,3,84,3,84,5,84,5,84,8,84,6,84,10,84,0,90,0,90,3,84,2,84,1,84,4,84,8,84,8,84,7,84,33,90,1,35,188,786,95,0,0,0,9,90,5,90,0,33,0,33,32,0,33,90,463,88,709,88,1,88,0,82,1,82,0,88,2,88,67,88,106,88
GA,18,48,74,22,77,41,54,137,19143,140,15083,140,1321,137,117,140,0,140,21,137,17,137,1875,140,189,137,141,140,1288,137,940,140,33,137,27,137,2370,140,0.787912030507235,140,15083,19143,0.088770915933069,137,1321,14881,0.06997933993749,137,1321,18877,0.081676750216076,137,189,2314,0.791139240506329,140,1875,2370,2023/01/22,,0,140,4,137,7,137,6,137,7,137,25,137,30,137,21,137,17,140,2,140,7,137,16,137,13,137,21,137,23,137,27,137,18,137,127,140,4,74,1605,473,1403,1,0,1,83,140,10,140,0,87,0,87,143,5,87,140,841,137,1174,137,35,136,4,134,9,134,2,136,7,137,228,137,301,137
SD,1,2,56,3,45,11,6,56,2034,59,1341,59,47,56,11,59,0,59,0,56,0,56,129,59,8,56,8,59,47,56,48,59,0,56,0,56,218,59,0.65929203539823,59,1341,2034,0.035823170731707,56,47,1312,0.023882113821138,56,47,1968,0.038647342995169,56,8,207,0.591743119266055,59,129,218,2023/01/22,,0,58,0,45,0,45,1,45,1,45,1,45,4,45,4,46,0,59,0,59,0,45,0,45,0,45,1,45,0,45,0,45,0,45,1,59,0,4,157,0,66,0,0,0,1,59,2,59,0,2,0,2,15,0,2,59,55,56,102,56,0,55,0,42,0,41,0,56,0,56,4,56,9,56
MO,1,25,90,26,56,34,37,112,14757,116,12203,116,794,112,61,116,0,116,7,112,16,112,1386,116,135,112,94,116,749,112,612,116,45,112,28,112,1750,116,0.826929592735651,116,12203,14757,0.066062068391713,112,794,12019,0.054732198249121,112,794,14507,0.080309339678763,112,135,1681,0.792,116,1386,1750,2023/01/22,,0,114,0,108,6,108,2,107,10,107,15,109,16,109,15,109,0,116,1,116,7,108,13,108,13,108,24,108,28,108,33,108,26,108,145,116,4,48,80,56,56,0,0,0,19,116,12,116,0,45,3,45,88,4,45,116,820,112,1016,112,2,112,3,104,2,104,0,112,4,112,175,112,230,112
OR,2,24,32,6,38,14,14,56,6964,58,5336,58,236,51,38,58,0,55,2,56,5,56,516,58,60,56,33,58,288,56,231,58,7,51,5,56,676,58,0.766226306720276,58,5336,6964,0.051948051948052,51,236,4543,0.039014713175732,51,236,6049,0.092449922958398,56,60,649,0.763313609467456,58,516,676,2023/01/22,,1,58,4,55,2,55,2,55,2,55,12,55,4,55,10,55,1,55,0,58,2,55,4,55,1,55,16,55,18,55,15,55,20,55,76,58,3,37,391,97,277,0,0,7,5,58,2,58,0,31,0,31,37,2,35,58,227,56,330,56,1,56,0,53,0,53,1,53,0,56,18,56,22,56
MS,3,23,71,12,73,12,3,95,7530,97,5068,97,176,95,36,97,0,97,0,95,9,95,578,97,28,95,24,97,158,95,135,97,18,95,5,95,713,97,0.673041168658699,97,5068,7530,0.035080725533187,95,176,5017,0.023579849946409,95,176,7464,0.04040404040404,95,28,693,0.810659186535764,97,578,713,2023/01/22,,0,96,1,87,1,87,1,87,5,89,8,86,12,87,7,87,1,97,2,97,2,87,1,87,3,87,4,87,7,86,9,88,0,85,28,97,1,31,54,30,51,147,0,14,3,97,11,97,0,29,0,29,39,0,29,97,178,95,340,95,0,95,0,85,0,85,0,94,2,95,37,95,64,95
IL,0,48,114,5,118,39,27,157,25935,162,18242,162,1021,157,141,162,0,153,6,157,26,157,1773,162,112,157,103,162,982,157,897,162,39,157,28,157,2811,162,0.703373819163293,162,18242,25935,0.056731677501806,157,1021,17997,0.039909314779346,157,1021,25583,0.040727272727273,157,112,2750,0.630736392742796,162,1773,2811,2023/01/22,,0,155,8,149,12,149,12,148,10,149,27,149,26,152,46,150,0,153,2,159,12,148,21,148,15,147,23,151,38,149,38,148,30,148,179,162,4,61,272,672,107,9,0,0,7,162,7,162,0,50,0,50,65,0,50,162,861,157,1239,157,3,156,1,143,2,145,0,156,5,157,352,157,522,157
MD,12,10,23,13,25,7,9,44,8333,45,6855,45,754,44,63,45,0,45,1,44,5,44,706,45,85,44,62,45,733,44,479,45,21,44,7,44,1005,45,0.822632905316213,45,6855,8333,0.111143867924528,44,754,6784,0.091416100872939,44,754,8248,0.087628865979381,44,85,970,0.702487562189055,45,706,1005,2023/01/22,,0,45,2,44,5,44,6,44,5,44,11,44,14,44,20,44,0,45,1,45,9,44,9,44,14,44,21,44,38,43,23,44,34,44,149,45,4,22,214,0,220,0,0,0,4,45,3,45,0,22,4,22,23,0,22,45,150,44,292,44,1,44,0,43,0,43,0,44,0,44,16,44,18,44
VA,9,28,44,16,36,29,39,78,14204,81,10008,81,693,78,82,81,0,81,1,78,1,78,1066,81,106,78,109,81,678,78,635,81,15,78,12,78,1583,81,0.704590256265841,81,10008,14204,0.070198541329011,78,693,9872,0.049485861182519,78,693,14004,0.068786502271252,78,106,1541,0.673404927353127,81,1066,1583,2023/01/22,,1,81,4,78,2,78,4,78,10,78,16,78,21,78,24,78,0,81,0,81,2,78,7,78,3,78,9,78,12,78,16,78,25,78,74,81,1,58,472,2,54,0,0,0,14,81,4,81,0,57,0,57,81,12,57,81,499,78,771,78,0,77,1,75,0,75,0,78,3,78,113,78,150,78
