dates,VAX_count,day,sdm,events,I_1,I_2,I_3,Y_1,Y_2,Y_3,V_1,V_2,V_3,Infected,Y,V,logV
2020-03-10,0,0,1,0,2,3,5,0,0,0,6451.6411458929115,14319.50203562864,18429.32476821324,10,0,12380.286456227605,9.42386068459994
2020-03-11,0,1,1,0,2,3,6,0,0,0,9203.287101082442,11396.619140531267,16805.49152158259,11,0,11735.650816399628,9.370386566176334
2020-03-12,0,2,1,0,2,3,7,0,1,1,9954.637383679392,7073.579389514365,13933.268752765154,12,2,9688.150820286122,9.17865885285392
2020-03-13,0,3,1,0,3,2,11,1,0,0,10955.833725531644,7404.0666556343795,14005.679042522403,16,1,9916.055519981304,9.20191049216939
2020-03-14,0,4,1,0,3,2,11,0,0,0,5790.553928349858,9291.990496826076,16708.663036228623,16,0,9621.343430349621,9.17173918363413
2020-03-15,0,5,1,0,3,2,10,0,0,1,3001.787474503664,5095.275539057631,22942.431651604504,15,1,9732.276824351298,9.18320314825342
2020-03-16,0,6,1,0,3,2,11,0,1,1,4494.321052884484,2188.4582787057316,28093.197853393693,16,2,10521.212653098064,9.261148750855526
2020-03-17,0,7,1,0,3,2,11,0,0,0,8651.575451691155,2188.405506707065,22718.537821077287,16,0,10857.680469350526,9.292627985901097
2020-03-18,0,8,1,0,1,3,13,0,0,0,1236.1010406641617,10062.562795121208,17609.903034174862,17,0,8990.467624820074,9.103920142221893
2020-03-19,0,9,1,0,3,1,15,0,0,1,5195.043525092617,1033.4246374179297,22844.100387524784,19,1,9311.118066169345,9.138964456096971
2020-03-20,0,10,1,0,2,4,17,0,0,0,1057.0836938691039,2243.9446644882046,30524.663487196132,23,0,10376.750779557127,9.24732308069908
2020-03-21,0,11,1,0,2,3,19,0,0,0,1057.0836938691039,1044.178094007061,31132.270970728,24,0,10370.289673733965,9.246700234655414
2020-03-22,0,12,1,0,3,3,24,0,0,2,3053.9028995081508,1007.7323888054987,30391.865851874325,30,2,10604.584288258244,9.26904166663199
2020-03-23,0,13,1,0,4,2,27,0,0,0,8380.54034638348,1,35795.58467113486,33,0,13829.667362616103,9.534571372497977
2020-03-24,0,14,1,0,4,2,32,0,0,0,12606.065614957664,1,41111.225092679015,38,0,16404.986503171687,9.70534062266836
2020-03-25,0,15,1,0,4,3,33,0,0,1,5196.865571429584,6323.71083814633,41047.84911834302,40,1,16994.519643643915,9.740646197161418
2020-03-26,0,16,1,0,7,2,33,0,0,1,10770.570200275663,1,51753.0271705532,42,1,19963.422894450996,9.901657022861066
2020-03-27,0,17,1,0,8,2,39,0,0,1,5223.780829021038,3855.880711026026,74775.74284036408,49,1,26018.577867079515,10.166566095195416
2020-03-28,0,18,1,0,9,3,47,0,0,1,2175.3056501765227,12087.557371988903,82596.04581652072,59,1,29552.192672139543,10.293913222184266
2020-03-29,0,19,1,0,9,3,51,0,0,0,2027.0231215711383,20505.548903837705,72563.95895118729,63,0,28935.095444482275,10.272810512584917
2020-03-30,0,20,0.086,0,9,3,61,0,0,1,5338.934847282104,9341.843285180676,77206.89634500621,73,1,27763.83462190398,10.23148953987582
2020-03-31,0,21,0.086,0,9,3,67,0,0,0,15937.101179761508,4924.42782765615,101288.81962433834,79,0,38613.162553563314,10.561348496123022
2020-04-01,0,22,0.086,0,8,2,68,0,0,0,24138.699804484204,7469.119850235701,116366.19795825188,78,0,44971.044174512186,10.713774098852808
2020-04-02,0,23,0.086,0,8,2,71,0,0,2,29079.377570064247,8887.864167054613,126595.2608963626,81,2,49979.53530264401,10.819368906679534
2020-04-03,0,24,0.086,0,11,2,75,0,0,0,33156.29239002983,4960.403123751297,125939.76364497349,88,0,50965.69671154349,10.838908071901372
2020-04-04,0,25,0.086,0,12,2,78,0,0,3,29350.9039922814,2209.8841847532112,127275.20581437297,92,3,48868.04937154897,10.796879074827709
2020-04-05,0,26,0.086,0,12,2,82,0,0,2,15706.509400022363,2043.222595056423,138394.14610015182,96,2,48120.86546228706,10.78147115542744
2020-04-06,0,27,0.086,0,14,2,84,2,0,2,9987.732665130376,2006.7368837710783,162251.70181108394,100,4,55869.4526605141,10.930773045743566
2020-04-07,0,28,0.086,0,15,2,85,0,0,1,16115.070517082262,2000.7461889477386,182138.98693143064,102,1,62702.33887303439,11.046154028525518
2020-04-08,0,29,0.086,0,15,2,90,0,0,2,21226.770745364476,2000.055252054742,194667.36832341348,107,2,69234.25464111571,11.14525102839377
2020-04-09,0,30,0.086,0,15,3,92,0,1,3,23278.30209962247,2000.002455866697,182275.83030137737,110,4,65055.062295537085,11.082989302519733
2020-04-10,0,31,0.086,0,13,3,90,1,0,0,29737.172742398612,2000.0024545070319,180579.56379142543,106,1,67665.3859321748,11.122330042065977
2020-04-11,0,32,0.086,0,17,3,94,1,0,0,42432.30167428953,3242.1943930340058,155511.33891281992,114,1,62269.82443604258,11.039232228463817
2020-04-12,0,33,0.086,0,17,4,95,0,0,1,38964.423098470106,7445.342342355425,132439.91722514527,116,1,53992.212463324366,10.896595101504483
2020-04-13,0,34,0.086,0,18,4,100,0,0,1,30451.536368830577,10715.380624386187,143388.18432385725,122,1,56500.21086639456,10.941999649276145
2020-04-14,0,35,0.086,0,18,4,104,0,0,3,32544.71401226487,11265.612652772794,180293.66348710572,126,3,69965.9919592784,11.15576457382511
2020-04-15,0,36,0.086,0,19,4,104,0,0,0,36365.598935833325,9541.92501947184,187999.8944757314,127,0,72037.10511210066,11.184936614030791
2020-04-16,0,37,0.086,0,19,3,103,0,0,1,31728.545469178316,4821.436192894501,167086.06104073263,125,1,63127.4075897964,11.052910305886726
2020-04-17,0,38,0.086,0,22,4,102,0,0,1,30940.619828828385,4603.380640871467,157663.96076089898,128,1,60039.91233690232,11.00276482566809
2020-04-18,0,39,0.086,0,21,4,103,0,0,1,36339.206482055764,8531.754946792487,168358.58186394247,128,1,66193.2995596472,11.100334521691435
2020-04-19,0,40,0.086,0,23,5,97,0,0,0,50551.280322396975,11298.960854519104,164316.5739893829,125,0,70106.83404978641,11.157775558282058
2020-04-20,0,41,0.086,0,21,7,98,0,0,0,53946.63460906095,12122.1622735237,144190.73890047925,126,0,66990.22889519125,11.112302050352593
2020-04-21,0,42,0.086,0,23,8,99,0,0,1,44331.89120898135,12970.073589882455,155174.14190413652,130,1,64848.91949791182,11.079815528046984
2020-04-22,0,43,0.086,0,24,8,101,0,0,4,36321.68950970003,13333.827979251271,146924.85645829522,133,4,60934.92441381515,11.01756176081727
2020-04-23,0,44,0.086,0,24,9,103,0,1,2,37069.88477181331,13800.438847017629,148510.95108620802,136,3,62907.65805824607,11.049423185011277
2020-04-24,0,45,0.086,0,22,9,102,1,0,3,40086.72552037801,16618.14575927986,163550.07886301298,133,4,70711.65926516545,11.166365750101013
2020-04-25,0,46,0.086,0,23,9,107,0,0,2,38800.279962270826,19331.754882898345,181185.65350621258,139,2,73847.02607875202,11.209751017395828
2020-04-26,0,47,0.086,0,24,8,106,0,1,2,45007.577939803436,15834.798801975485,185222.33343812078,138,3,73983.71442325698,11.211600272604779
2020-04-27,0,48,0.086,0,25,8,107,1,1,4,54629.158606048586,9388.003126001815,178776.3576789524,140,6,74939.4304001927,11.224435471574099
2020-04-28,0,49,0.086,0,27,8,104,1,0,0,51993.52781736611,8645.22011531447,196600.42394858395,139,1,80207.05820711282,11.292366797552152
2020-04-29,0,50,0.086,0,29,9,103,0,0,2,42317.96080489575,14033.119439295673,232659.50964581734,141,2,91157.11355101358,11.42033981931086
2020-04-30,0,51,0.086,0,31,8,116,0,0,1,41220.09953324911,17812.130159954275,212089.6673079404,155,1,81777.02053460383,11.311751560564849
2020-05-01,0,52,0.086,0,33,8,116,1,0,1,48330.96993832172,30791.74221975949,199986.2197207459,157,2,83871.45174036581,11.337040569240429
2020-05-02,0,53,0.086,0,32,8,120,0,1,2,48472.765250139324,14240.712464070513,186103.06938885018,160,3,80373.03141388603,11.294433968722226
2020-05-03,0,54,0.086,0,31,7,123,2,1,1,46925.8506430531,6109.885459637716,212733.01801388813,161,4,79811.82361561523,11.287426938071674
2020-05-04,0,55,0.086,0,31,7,121,1,1,2,49561.73844348305,7303.973523634257,202843.38333935637,159,4,83519.74759245737,11.332838380990939
